:START_ID,:END_ID,:TYPE
7512487,6901037,LINKS_TO
7517984,7512487,LINKS_TO
7517984,6890861,LINKS_TO
7518871,7517984,LINKS_TO
7722907,7188018,LINKS_TO
7830074,1153292,LINKS_TO
7830074,2706022,LINKS_TO
7910706,4339184,LINKS_TO
7910706,1093025,LINKS_TO
7938492,7910706,LINKS_TO
8028264,7025272,LINKS_TO
8028264,7962295,LINKS_TO
8028264,7938492,LINKS_TO
8028264,7960622,LINKS_TO
8028264,7015186,LINKS_TO
8028264,7025272,LINKS_TO
8028264,7023794,LINKS_TO
8028264,7025272,LINKS_TO
8028264,4136647,LINKS_TO
8028264,7493693,LINKS_TO
8031205,8028264,LINKS_TO
8185373,3757132,LINKS_TO
8203750,4180634,LINKS_TO
8244446,7910706,LINKS_TO
8244446,7938492,LINKS_TO
8244446,8260510,LINKS_TO
8246732,1346395,LINKS_TO
8260510,8244446,LINKS_TO
8272715,8260510,LINKS_TO
8272715,8272105,LINKS_TO
8272715,8028264,LINKS_TO
8272715,8031205,LINKS_TO
8429378,8429378,LINKS_TO
8566245,3014589,LINKS_TO
8581627,8581627,LINKS_TO
8584685,8584685,LINKS_TO
8699346,4063530,LINKS_TO
8699346,8699346,LINKS_TO
8746032,7483341,LINKS_TO
8772179,8272715,LINKS_TO
8772179,6521802,LINKS_TO
8772179,8260510,LINKS_TO
8784278,8772179,LINKS_TO
8784942,6514960,LINKS_TO
8784942,8784278,LINKS_TO
8787102,8784942,LINKS_TO
8788101,8784278,LINKS_TO
8788101,4341134,LINKS_TO
8882722,8784942,LINKS_TO
8900555,8566245,LINKS_TO
8947565,8882722,LINKS_TO
8947565,8784942,LINKS_TO
8947565,8955159,LINKS_TO
8947565,8947871,LINKS_TO
8947871,8947565,LINKS_TO
8947871,8955159,LINKS_TO
8949471,6531064,LINKS_TO
8949471,5649592,LINKS_TO
8955159,8949471,LINKS_TO
8955159,8947565,LINKS_TO
8968230,6514960,LINKS_TO
8968230,8949471,LINKS_TO
8968230,6521802,LINKS_TO
9204795,4327678,LINKS_TO
9205238,9205257,LINKS_TO
9205238,9205264,LINKS_TO
9205257,9205238,LINKS_TO
9205257,9205264,LINKS_TO
9205264,9205238,LINKS_TO
9205264,9205257,LINKS_TO
9216751,9216081,LINKS_TO
